3998.37201	0.06625
3997.40762	0.06628
3996.44323	0.06631
3995.47883	0.06634
3994.51444	0.06636
3993.55005	0.06640
3992.58566	0.06645
3991.62126	0.06650
3990.65687	0.06653
3989.69248	0.06655
3988.72809	0.06655
3987.76369	0.06654
3986.79930	0.06651
3985.83491	0.06648
3984.87051	0.06645
3983.90612	0.06646
3982.94173	0.06649
3981.97734	0.06653
3981.01294	0.06653
3980.04855	0.06643
3979.08416	0.06622
3978.11977	0.06595
3977.15537	0.06568
3976.19098	0.06551
3975.22659	0.06545
3974.26220	0.06547
3973.29780	0.06551
3972.33341	0.06552
3971.36902	0.06552
3970.40462	0.06549
3969.44023	0.06543
3968.47584	0.06534
3967.51145	0.06523
3966.54705	0.06510
3965.58266	0.06493
3964.61827	0.06474
3963.65388	0.06453
3962.68948	0.06437
3961.72509	0.06432
3960.76070	0.06440
3959.79630	0.06452
3958.83191	0.06460
3957.86752	0.06459
3956.90313	0.06453
3955.93873	0.06444
3954.97434	0.06438
3954.00995	0.06435
3953.04556	0.06435
3952.08116	0.06438
3951.11677	0.06438
3950.15238	0.06434
3949.18799	0.06425
3948.22359	0.06416
3947.25920	0.06409
3946.29481	0.06407
3945.33041	0.06406
3944.36602	0.06403
3943.40163	0.06391
3942.43724	0.06372
3941.47284	0.06354
3940.50845	0.06340
3939.54406	0.06331
3938.57967	0.06329
3937.61527	0.06337
3936.65088	0.06357
3935.68649	0.06392
3934.72210	0.06434
3933.75770	0.06469
3932.79331	0.06480
3931.82892	0.06459
3930.86452	0.06415
3929.90013	0.06368
3928.93574	0.06333
3927.97135	0.06316
3927.00695	0.06308
3926.04256	0.06303
3925.07817	0.06301
3924.11378	0.06310
3923.14938	0.06333
3922.18499	0.06368
3921.22060	0.06408
3920.25621	0.06445
3919.29181	0.06478
3918.32742	0.06498
3917.36303	0.06494
3916.39863	0.06465
3915.43424	0.06424
3914.46985	0.06383
3913.50546	0.06350
3912.54106	0.06328
3911.57667	0.06320
3910.61228	0.06325
3909.64789	0.06345
3908.68349	0.06377
3907.71910	0.06419
3906.75471	0.06466
3905.79032	0.06518
3904.82592	0.06575
3903.86153	0.06629
3902.89714	0.06666
3901.93274	0.06666
3900.96835	0.06621
3900.00396	0.06542
3899.03957	0.06462
3898.07517	0.06412
3897.11078	0.06401
3896.14639	0.06413
3895.18200	0.06429
3894.21760	0.06438
3893.25321	0.06434
3892.28882	0.06421
3891.32443	0.06416
3890.36003	0.06439
3889.39564	0.06490
3888.43125	0.06550
3887.46685	0.06596
3886.50246	0.06611
3885.53807	0.06597
3884.57368	0.06572
3883.60928	0.06548
3882.64489	0.06528
3881.68050	0.06506
3880.71611	0.06487
3879.75171	0.06480
3878.78732	0.06492
3877.82293	0.06513
3876.85854	0.06532
3875.89414	0.06543
3874.92975	0.06545
3873.96536	0.06548
3873.00096	0.06565
3872.03657	0.06592
3871.07218	0.06614
3870.10779	0.06629
3869.14339	0.06643
3868.17900	0.06658
3867.21461	0.06663
3866.25022	0.06647
3865.28582	0.06615
3864.32143	0.06590
3863.35704	0.06586
3862.39265	0.06604
3861.42825	0.06639
3860.46386	0.06689
3859.49947	0.06740
3858.53507	0.06776
3857.57068	0.06780
3856.60629	0.06744
3855.64190	0.06672
3854.67750	0.06581
3853.71311	0.06509
3852.74872	0.06485
3851.78433	0.06507
3850.81993	0.06551
3849.85554	0.06596
3848.89115	0.06631
3847.92676	0.06651
3846.96236	0.06663
3845.99797	0.06672
3845.03358	0.06685
3844.06918	0.06704
3843.10479	0.06729
3842.14040	0.06751
3841.17601	0.06752
3840.21161	0.06724
3839.24722	0.06673
3838.28283	0.06614
3837.31844	0.06570
3836.35404	0.06554
3835.38965	0.06560
3834.42526	0.06580
3833.46087	0.06602
3832.49647	0.06617
3831.53208	0.06626
3830.56769	0.06636
3829.60329	0.06646
3828.63890	0.06651
3827.67451	0.06653
3826.71012	0.06658
3825.74572	0.06669
3824.78133	0.06681
3823.81694	0.06682
3822.85255	0.06662
3821.88815	0.06628
3820.92376	0.06605
3819.95937	0.06605
3818.99498	0.06618
3818.03058	0.06617
3817.06619	0.06594
3816.10180	0.06561
3815.13740	0.06545
3814.17301	0.06558
3813.20862	0.06588
3812.24423	0.06621
3811.27983	0.06649
3810.31544	0.06669
3809.35105	0.06677
3808.38666	0.06674
3807.42226	0.06668
3806.45787	0.06671
3805.49348	0.06687
3804.52909	0.06696
3803.56469	0.06677
3802.60030	0.06623
3801.63591	0.06551
3800.67151	0.06498
3799.70712	0.06483
3798.74273	0.06495
3797.77834	0.06512
3796.81394	0.06523
3795.84955	0.06530
3794.88516	0.06536
3793.92077	0.06538
3792.95637	0.06536
3791.99198	0.06532
3791.02759	0.06531
3790.06319	0.06535
3789.09880	0.06544
3788.13441	0.06553
3787.17002	0.06557
3786.20562	0.06553
3785.24123	0.06541
3784.27684	0.06529
3783.31245	0.06520
3782.34805	0.06509
3781.38366	0.06492
3780.41927	0.06469
3779.45488	0.06449
3778.49048	0.06447
3777.52609	0.06465
3776.56170	0.06494
3775.59730	0.06527
3774.63291	0.06558
3773.66852	0.06584
3772.70413	0.06601
3771.73973	0.06608
3770.77534	0.06605
3769.81095	0.06602
3768.84656	0.06609
3767.88216	0.06624
3766.91777	0.06636
3765.95338	0.06639
3764.98899	0.06637
3764.02459	0.06636
3763.06020	0.06638
3762.09581	0.06641
3761.13141	0.06643
3760.16702	0.06648
3759.20263	0.06664
3758.23824	0.06696
3757.27384	0.06738
3756.30945	0.06787
3755.34506	0.06838
3754.38067	0.06878
3753.41627	0.06894
3752.45188	0.06884
3751.48749	0.06870
3750.52310	0.06871
3749.55870	0.06902
3748.59431	0.06966
3747.62992	0.07051
3746.66552	0.07123
3745.70113	0.07147
3744.73674	0.07117
3743.77235	0.07071
3742.80795	0.07044
3741.84356	0.07050
3740.87917	0.07084
3739.91478	0.07144
3738.95038	0.07221
3737.98599	0.07297
3737.02160	0.07344
3736.05721	0.07343
3735.09281	0.07293
3734.12842	0.07219
3733.16403	0.07147
3732.19963	0.07102
3731.23524	0.07103
3730.27085	0.07153
3729.30646	0.07230
3728.34206	0.07307
3727.37767	0.07359
3726.41328	0.07371
3725.44889	0.07344
3724.48449	0.07290
3723.52010	0.07219
3722.55571	0.07139
3721.59132	0.07061
3720.62692	0.06998
3719.66253	0.06952
3718.69814	0.06926
3717.73374	0.06923
3716.76935	0.06940
3715.80496	0.06968
3714.84057	0.06997
3713.87617	0.07015
3712.91178	0.07016
3711.94739	0.07004
3710.98300	0.06995
3710.01860	0.07001
3709.05421	0.07024
3708.08982	0.07060
3707.12543	0.07097
3706.16103	0.07122
3705.19664	0.07131
3704.23225	0.07122
3703.26785	0.07097
3702.30346	0.07065
3701.33907	0.07040
3700.37468	0.07037
3699.41028	0.07053
3698.44589	0.07079
3697.48150	0.07109
3696.51711	0.07143
3695.55271	0.07180
3694.58832	0.07216
3693.62393	0.07241
3692.65954	0.07239
3691.69514	0.07202
3690.73075	0.07135
3689.76636	0.07057
3688.80196	0.06991
3687.83757	0.06963
3686.87318	0.06982
3685.90879	0.07030
3684.94439	0.07081
3683.98000	0.07125
3683.01561	0.07159
