C3367951
C589877
C61792072
C353559
B6003950
C5349995
C23676097
C116632996
C612033
C116401457
C2524041
C14087026
C1048084
C451821
C4206751
C7098079
C3238606
C455185
C623256
B6000274
C404240
C344268322
C80438671
C75809
C18545830
C21810402
C813774
C573262
C3663501
C48144156
C609110
C56521881
C505577
C114133845
C814686
C604615
C519879
C89043
C89930
B6003927
C1206491
C3510701
C17928288
C75843
C91736
C17061904
C2917477
C116346204
C635905
C52819371
B6005933
C24332205
C18092961
C717215
C6390698
C1631829
C4166863
C4911460
C5393759
C1118098
C108543
C111717
C51306093
C14200841
C1460986
C943599
C475207
C538512
C4325853
C84720
C697916
C2136701
C6832935
C676926
C89838
C71172719
C615418
C259139510
C63476562
C16434972
C355680
C74111276
C562903
C290379
C999973
C614346
C672571
C51263322
C2198665
C72928382
C617298
C2208051
C471432
C100961237
C661961
C144150
C109319
C616217
C37995087
C116465986
C2567295
C288131
C2083912
C16805768
C73267762
C42433614
C116346088
C5676824
C116495717
C565640
C7568583
C372463
C14072867
C142165
C116632985
C54484638
C4781764
C695023
C4351546
C2786621
C85289
C2524030
C18282592
C2567148
C76028
C70235
C762721
C13835819
B6007499
B6004301
C998414
C116296221
C6935064
C624737
C5437467
C925520
C455367
C7305035
C2716623
C18023331
C2941711
C55538595
C7497894
C778256
C7516703
C42222060
C116435133
C18631828
C106105
C153786
C5382774
C116373149
C713655
C3497005
C764487
C80789668
C87720409
C1072431
C1649087
C3547044
C85712
C7799566
C5676584
C754030
C13465775
C20665230
C16001051
C659869
C621705
C1825316
C10557718
C622060
C2467109
C421692
C1241947
C77634
C1556189
C18236890
C931362
C18420467
C301008
C96297
C6626239
C1652897
C4095094
C818611
C630251
C556683
C71172504
B6009571
C2051607
C1083303
C612000
C3088413
C5357380
C57883042
C579102
C1450142
C13410612
C116402449
C84479
C30242058
C116465895
B6005390
C116435086
C359284
C94487997
C422300
C19255904
C1774352
C116434709
C16066094
B6001721
C10089459
C77838
C116502580
C354154
C10025782
B6001970
B6009542
C921084
C93048352
C18186975
B6009881
C5320989
C84719
C1809218
C92153178
C2307100
C180780158
C29518023
C766778
C17576351
C104541
C5637832
B6008118
C15721058
C10026047
C6969502
C614302
C116400681
C2923968
C95318
B6007279
B6008505
C533175
C4242460
C590216
C2455438
C7786676
C5906730
C618382
C877430
C941435
C120558
C88244
C116277942
C94280
C7371677
C29293934
C95874
C102127399
C120321
C30573525
C17448963
C15901492
C116295499
C15507525
C7659452
C85261161
C820713
C5779511
C116434867
C682019
C104369
C2401732
C1693512
C4595599
C59969914
C1501264
C137166
B6006697
C109308
C7561048
C5399064
C127060
C111530508
C92018321
C30203840
C14756037
C131204
C55289537
C54774991
C6166865
C14920935
C459803
C5470962
C116373398
C36854576
C2240417
C2775953
B6004194
C34743889
B6006704
C3387415
C20892460
C100136116
C3426899
C5283669
C103117
C5922690
C116862670
C3728436
C581088
C1132667
C430955
C117851
C370354
C6416393
C84628
C3763391
C594207
C13679464
C17075148
C771608
C1631841
C515844
C10354004
B6010099
C116557994
C71029373
C29285594
C353548
C614722
C623698
C15827346
C76222
C612577
C352329
C1464535
B6010145
C538238
C945517
C116374062
C368478
C105997
B6006758
C73941330
C1632684
C17940635
C2031621
C3295929
C705602
C114165218
C280579
C770127
C116374084
C116435144
